SIMBAD Id,SIMBAD Label,SIMBAD Description,SKOS relationship,UAT match,ABL comments,SIMBAD_category,SIMBAD_subcategory,SIMBAD's comment,SIMBAD's status
glb,Globule,Globule (low-mass dark cloud),broadMatch,Dark interstellar clouds,Uncertain.,3. INTERSTELLAR MEDIUM,,,
GlC,GlobCluster,Globular Cluster,exactMatch,Globular star clusters,,2. SETS OF STARS,,,
gLe,GravLens,Gravitational Lens,exactMatch,Gravitational lensing,,6. GRAVITATION,,,
gLS,GravLensSystem,Gravitational Lens System (lens+images),closeMatch,Gravitational lensing,Possibly an umbrella term for lensed images like Einstein rings could be useful in the UAT.,6. GRAVITATION,,,
GNe,GalNeb,Nebula,exactMatch,Nebulae,,3. INTERSTELLAR MEDIUM,,,
GrG,GroupG,Group of Galaxies,exactMatch,Galaxy groups,,5. SETS OF GALAXIES,,,
grv,Gravitation,Gravitational Source,broadMatch,General relativity,narrowMatch in Gravitational wave sources. SIMBAD concept of Gravitational source is apparently meant to capture both lensing and gravitational waves.,6. GRAVITATION,,,
GWE,GravWaveEvent,Gravitational Wave Event,closeMatch,Gravitational wave sources,,6. GRAVITATION,,,
H2G,HIIG,HII Galaxy,broadMatch,Starburst galaxies,relatedMatch in H II regions.,4. TAXONOMY OF GALAXIES,,,
HB*,HorBranch*,Horizontal Branch Star,exactMatch,Horizontal branch stars,UAT should subtag to evolved stars (along with AGB and post-AGB).,1. TAXONOMY OF STARS,Evolved Stars,,
HH,HerbigHaroObj,Herbig-Haro Object,exactMatch,Herbig-Haro objects,,1. TAXONOMY OF STARS,Young Stellar Objects (Pre-Main Sequence Stars),,
HI,HI,HI (21cm) Source,closeMatch,H I line emission,narrowMatch in H I regions,7. GENERAL SPECTRAL PROPERTIES,,,
HII,HIIReg,HII Region,exactMatch,H II regions,,3. INTERSTELLAR MEDIUM,,,
HS*,HotSubdwarf,Hot Subdwarf,broadMatch,Subdwarf stars,narrowMatch in O subdwarf stars AND B subdwarf stars.,1. TAXONOMY OF STARS,Evolved Stars,"SpT like sdB, sdO",
HV*,HighVel*,High Velocity Star,exactMatch,High-velocity stars,,1. TAXONOMY OF STARS,Kinematic and Environment Properties,,
HVC,HVCld,High-velocity Cloud,exactMatch,High-velocity clouds,,3. INTERSTELLAR MEDIUM,,Vlsr > ~90 km/s,
HXB,HighMassXBin,High Mass X-ray Binary,exactMatch,High mass x-ray binary stars,,1. TAXONOMY OF STARS,Interacting Binaries and close Common Proper Motion Systems,,
IG,InteractingG,Interacting Galaxies,exactMatch,Interacting galaxies,,5. SETS OF GALAXIES,,,
IR,Infrared,Infra-Red Source,exactMatch,Infrared sources,,7. GENERAL SPECTRAL PROPERTIES,,,
Ir*,IrregularV*,Irregular Variable,exactMatch,Irregular variable stars,,1. TAXONOMY OF STARS,Properties . variability. spectral. kinematic or environment,,
ISM,ISM,Interstellar Medium Object,exactMatch,Interstellar medium,,3. INTERSTELLAR MEDIUM,,,
LeG,LensedG,Gravitationally Lensed Image of a Galaxy,broadMatch,Gravitational lensing,Possibly an umbrella term for lensed images like Einstein rings could be useful in the UAT.,6. GRAVITATION,,,
LeI,LensedImage,Gravitationally Lensed Image,broadMatch,Gravitational lensing,Possibly an umbrella term for lensed images like Einstein rings could be useful in the UAT.,6. GRAVITATION,,,
LeQ,LensedQ,Gravitationally Lensed Image of a Quasar,broadMatch,Gravitational lensing,Possibly an umbrella term for lensed images like Einstein rings could be useful in the UAT.,6. GRAVITATION,,,
Lev,LensingEv,(Micro)Lensing Event,closeMatch,Gravitational microlensing,,6. GRAVITATION,,,
LIN,LINER,LINER-type Active Galaxy Nucleus,exactMatch,LINER galaxies,,4. TAXONOMY OF GALAXIES,,,
LM*,Low-Mass*,Low-mass Star,exactMatch,Low mass stars,,1. TAXONOMY OF STARS,Low mass Stars and substellar Objects,M ~< 1 Mo,
LP*,LongPeriodV*,Long-Period Variable,exactMatch,Long period variable stars,,1. TAXONOMY OF STARS,Evolved Stars,"AB*, RG*, or s*r. Includes L, SR, and OSARG",
LSB,LowSurfBrghtG,Low Surface Brightness Galaxy,exactMatch,Low surface brightness galaxies,,4. TAXONOMY OF GALAXIES,,,
LXB,LowMassXBin,Low Mass X-ray Binary,exactMatch,Low-mass x-ray binary stars,,1. TAXONOMY OF STARS,Interacting Binaries and close Common Proper Motion Systems,,
Ma*,Massiv*,Massive Star,exactMatch,Massive stars,,1. TAXONOMY OF STARS,Massive Stars and their Remnants,Initial mass > 8-10 Mo,new
Mas,Maser,Maser,exactMatch,Astrophysical masers,,7. GENERAL SPECTRAL PROPERTIES,,,
MGr,MouvGroup,Moving Group,broadMatch,Stellar associations,"Not certain about this. Note: *not* a match for Moving clusters -""The category of moving groups is not to be confused with moving clusters."" https://sites.astro.caltech.edu/~george/ay20/eaa-starclus.pdf",2. SETS OF STARS,,,
Mi*,Mira,Mira Variable,exactMatch,Mira variable stars,,1. TAXONOMY OF STARS,Evolved Stars,,
MIR,MidIR,Mid-IR Source (3 to 30 µm),broadMatch,Infrared sources,,7. GENERAL SPECTRAL PROPERTIES,,"e.g. IRAS 12/25, AKARI-IRC, WISE, Spitzer-IRAC-MIPS",
mm,mmRad,Millimetric Radio Source,broadMatch,Radio sources,,7. GENERAL SPECTRAL PROPERTIES,,,
MoC,MolCld,Molecular Cloud,exactMatch,Molecular clouds,,3. INTERSTELLAR MEDIUM,,,
mR,metricRad,Metric Radio Source,broadMatch,Radio sources,,7. GENERAL SPECTRAL PROPERTIES,,,
MS*,MainSequence*,Main Sequence Star,exactMatch,Main sequence stars,,1. TAXONOMY OF STARS,Main Sequence Stars,Main Sequence,new
mul,Blend,"Composite Object, Blend",exactMatch,,Could be valuable to add to the UAT.,"8. BLENDS, ERRORS, NOT WELL DEFINED OBJECTS",,,
N*,Neutron*,Neutron Star,exactMatch,Neutron stars,,1. TAXONOMY OF STARS,Massive Stars and their Remnants,,
NIR,NearIR,Near-IR Source (λ < 3 µm),broadMatch,Infrared sources,,7. GENERAL SPECTRAL PROPERTIES,,"JHK, 2MASS, UKIDSS, ...",
No*,Nova,Classical Nova,exactMatch,Classical novae,,1. TAXONOMY OF STARS,Interacting Binaries and close Common Proper Motion Systems,,
OH*,OH/IR*,OH/IR Star,exactMatch,OH/IR stars,,1. TAXONOMY OF STARS,Evolved Stars,"O-rich AGB or PAGB, doubled-peaked OH maser profile",
OpC,OpenCluster,Open Cluster,exactMatch,Open star clusters,,2. SETS OF STARS,,,
Opt,Optical,Optical Source,exactMatch,Visible sources,"""Optical sources"" is probably better.",7. GENERAL SPECTRAL PROPERTIES,,Corresponding to BVRI range,new
Or*,OrionV*,Orion Variable,broadMatch,Young stellar objects,narrowMatch in FU Orionis stars AND T Tauri stars.,1. TAXONOMY OF STARS,Young Stellar Objects (Pre-Main Sequence Stars),,
out,Outflow,Outflow,relatedMatch,Jets,"Too vague to be useful except as an umbrella term across multiple categories of objects (AGN, stars, YSOs, SNRs, etc.). Also, in old SIMBAD vocab this was subtagged to SNRs, and I wonder if they cleaned up their database when they moved it to YSOs.",1. TAXONOMY OF STARS,Young Stellar Objects (Pre-Main Sequence Stars),,
pA*,post-AGB*,Post-AGB Star,exactMatch,Post-asymptotic giant branch stars,Could be subtagged to Evolved stars.,1. TAXONOMY OF STARS,Evolved Stars,,
PaG,PairG,Pair of Galaxies,exactMatch,Galaxy pairs,,5. SETS OF GALAXIES,,,
PCG,protoClG,Proto Cluster of Galaxies,broadMatch,Galaxy clusters,"If added to the UAT, would need to be disambiguated from ""Protoclusters"" which is currently for stars.",5. SETS OF GALAXIES,,,
Pe*,ChemPec*,Chemically Peculiar Star,exactMatch,Chemically peculiar stars,,1. TAXONOMY OF STARS,Chemically Peculiar Stars,Includes metal-poor stars,
Pl,Planet,Extra-solar Planet,exactMatch,Exoplanets,,1. TAXONOMY OF STARS,Low mass Stars and substellar Objects,,
PM*,HighPM*,High Proper Motion Star,relatedMatch,Proper motions,"Would be valuable to add to the UAT, somewhere.",1. TAXONOMY OF STARS,Kinematic and Environment Properties,Total proper motion >= 50 mas/yr,
PN,PlanetaryNeb,Planetary Nebula,exactMatch,Protoplanetary nebulae,,1. TAXONOMY OF STARS,Evolved Stars,Includes the progenitor Star when knwon,
PoC,PartofCloud,Part of Cloud,relatedMatch,Interstellar clouds,,"8. BLENDS, ERRORS, NOT WELL DEFINED OBJECTS",,,
PoG,PartofG,Part of a Galaxy,relatedMatch,Galaxies,,"8. BLENDS, ERRORS, NOT WELL DEFINED OBJECTS",,,
Psr,Pulsar,Pulsar,exactMatch,Pulsars,,1. TAXONOMY OF STARS,Massive Stars and their Remnants,,
Pu*,PulsV*,Pulsating Variable,exactMatch,Pulsating variable stars,,1. TAXONOMY OF STARS,Properties . variability. spectral. kinematic or environment,Non LPV Pulsating Star,
QSO,QSO,Quasar,exactMatch,Quasars,,4. TAXONOMY OF GALAXIES,,,
Rad,Radio,Radio Source,exactMatch,Radio sources,,7. GENERAL SPECTRAL PROPERTIES,,,
rB,radioBurst,Radio Burst,exactMatch,Radio bursts,Should add an altLabel for Fast Radio Bursts / FRBs.,7. GENERAL SPECTRAL PROPERTIES,,,
RC*,RCrBV*,R CrB Variable,exactMatch,R Coronae Borealis variable stars,Could probably do with some more metatags.,1. TAXONOMY OF STARS,Chemically Peculiar Stars,,
reg,Region,Region defined in the Sky,,,,"8. BLENDS, ERRORS, NOT WELL DEFINED OBJECTS",,,
rG,RadioG,Radio Galaxy,exactMatch,Radio galaxies,,4. TAXONOMY OF GALAXIES,,,
RG*,RGB*,Red Giant Branch star,closeMatch,Red giant stars,"UAT may need a separate concept for ""Red giant branch stars"" subtagged to ""Red giant stars"", which is often used as a vague umbrella term. Or it may be best to avoid ""red giant stars"" as a concept and stick to ""red giant branch stars"".",1. TAXONOMY OF STARS,Evolved Stars,,
RNe,RefNeb,Reflection Nebula,exactMatch,Reflection nebulae,,3. INTERSTELLAR MEDIUM,,,
Ro*,RotV*,Rotating Variable,,,Complex issues here to do with the way stellar variability types are structured in the UAT.,1. TAXONOMY OF STARS,Properties . variability. spectral. kinematic or environment,,
RR*,RRLyrae,RR Lyrae Variable,exactMatch,RR Lyrae variable stars,Worth thinking about adding metatags to this in the UAT.,1. TAXONOMY OF STARS,Evolved Stars,,
RS*,RSCVnV*,RS CVn Variable,exactMatch,RS Canum Venaticorum variable stars,"UAT should subtag to Binary stars, I think.",1. TAXONOMY OF STARS,Interacting Binaries and close Common Proper Motion Systems,,
RV*,RVTauV*,RV Tauri Variable,exactMatch,RV Tauri variable stars,,1. TAXONOMY OF STARS,Evolved Stars,,
S*,S*,S Star,exactMatch,S stars,,1. TAXONOMY OF STARS,Evolved Stars,"Mostly AGB or RGB. SpT like S,SC,MS",
s*b,BlueSG,Blue Supergiant,exactMatch,Early-type supergiant stars,,1. TAXONOMY OF STARS,Massive Stars and their Remnants,"SpT like O/B 0,Ia,Iab,(I)",
s*r,RedSG,Red Supergiant,closeMatch,Late-type supergiant stars,,1. TAXONOMY OF STARS,Massive Stars and their Remnants,"SpT like K/M 0,Ia,Iab,(I)",
s*y,YellowSG,Yellow Supergiant,broadMatch,Supergiant stars,narrowMatch in F supergiant stars AND G supergiant stars (and debateably K supergiant stars).,1. TAXONOMY OF STARS,Massive Stars and their Remnants,"SpT like F/G 0,Ia,Iab,(I)",
SB*,SB*,Spectroscopic Binary,exactMatch,Spectroscopic binary stars,,1. TAXONOMY OF STARS,Interacting Binaries and close Common Proper Motion Systems,,
SBG,StarburstG,Starburst Galaxy,exactMatch,Starburst galaxies,,4. TAXONOMY OF GALAXIES,,,
SCG,SuperClG,Supercluster of Galaxies,exactMatch,Superclusters,,5. SETS OF GALAXIES,,,
SFR,StarFormingReg,Star Forming Region,exactMatch,Star forming regions,UAT should subtag to Interstellar medium.,3. INTERSTELLAR MEDIUM,,,
sg*,Supergiant,Evolved Supergiant,exactMatch,,UAT should probably subtag Supergiant stars to Massive stars.,1. TAXONOMY OF STARS,Massive Stars and their Remnants,"Luminosity type 0,Ia,Iab,(I). Includes A-type SG",
sh,HIshell,Interstellar Shell,exactMatch,Circumstellar shells,,3. INTERSTELLAR MEDIUM,,,
smm,smmRad,Sub-Millimetric Source,broadMatch,Radio sources,,7. GENERAL SPECTRAL PROPERTIES,,,
SN*,Supernova,SuperNova,exactMatch,Supernovae,,1. TAXONOMY OF STARS,SuperNovae,,
SNR,SNRemnant,SuperNova Remnant,exactMatch,Supernova remnants,,3. INTERSTELLAR MEDIUM,,,
St*,Stream,Stellar Stream,exactMatch,Stellar streams,,2. SETS OF STARS,,,
SX*,SXPheV*,SX Phe Variable,exactMatch,SX Phoenicis variable stars,,1. TAXONOMY OF STARS,Main Sequence Stars,See Pu* for candidate,
Sy*,Symbiotic*,Symbiotic Star,exactMatch,Symbiotic binary stars,,1. TAXONOMY OF STARS,Interacting Binaries and close Common Proper Motion Systems,,
Sy1,Seyfert1,Seyfert 1 Galaxy,broadMatch,Seyfert galaxies,,4. TAXONOMY OF GALAXIES,,,
Sy2,Seyfert2,Seyfert 2 Galaxy,broadMatch,Seyfert galaxies,,4. TAXONOMY OF GALAXIES,,,
SyG,Seyfert,Seyfert Galaxy,exactMatch,Seyfert galaxies,,4. TAXONOMY OF GALAXIES,,,
TT*,TTauri*,T Tauri Star,exactMatch,T Tauri stars,,1. TAXONOMY OF STARS,Young Stellar Objects (Pre-Main Sequence Stars),Includes classical and weak-line T Tauri,
ULX,ULX,Ultra-luminous X-ray Source,exactMatch,Ultraluminous x-ray sources,,7. GENERAL SPECTRAL PROPERTIES,,,
UV,UV,UV-emission Source,exactMatch,Ultraviolet sources,,7. GENERAL SPECTRAL PROPERTIES,,,
V*,Variable*,Variable Star,exactMatch,Variable stars,,1. TAXONOMY OF STARS,Properties . variability. spectral. kinematic or environment,,
var,Variable,Variable source,,,"An umbrella term in the UAT might be useful, but implementation might be tricky.",7. GENERAL SPECTRAL PROPERTIES,,,
vid,Void,Underdense Region of the Universe,exactMatch,Voids,,5. SETS OF GALAXIES,,,
WD*,WhiteDwarf,White Dwarf,exactMatch,White dwarf stars,Should the UAT's Stellar remnants be under Evolved stars? Worth thinking about.,1. TAXONOMY OF STARS,Evolved Stars,SpT like D and PG1159,
WR*,WolfRayet*,Wolf-Rayet,exactMatch,Wolf-Rayet stars,"Some subtypes could probably be subtagged to Massive stars, but probbaly not all.",1. TAXONOMY OF STARS,Massive Stars and their Remnants,SpT like W,
WV*,Type2Cep,Type II Cepheid Variable,exactMatch,Type II Cepheid variable stars,,1. TAXONOMY OF STARS,Evolved Stars,Includes W Wir and BL Her subtypes,
X,X,X-ray Source,exactMatch,X-ray sources,,7. GENERAL SPECTRAL PROPERTIES,,,
XB*,XrayBin,X-ray Binary,exactMatch,X-ray binary stars,,1. TAXONOMY OF STARS,Interacting Binaries and close Common Proper Motion Systems,,
Y*O,YSO,Young Stellar Object,exactMatch,Young stellar objects,,1. TAXONOMY OF STARS,Young Stellar Objects (Pre-Main Sequence Stars),Pre-Main Sequence,